,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,constellation
122,4.78,0.39937928,-77.06529438,14.77,-56.52,-176.95,0.026625285333333335,1991.25,Octans
154,4.37,0.48996506,-6.01397169,7.86,46.62,-41.32,0.032664337333333335,1991.25,Pisces
301,4.55,0.93488487,-17.33597002,14.31,28.57,-7.28,0.062325658,1991.25,Cetus
355,4.99,1.1255098,-10.50949443,2.03,-6.49,-11.88,0.07503398666666666,1991.25,Cetus
443,4.61,1.33394073,-5.70783255,25.38,-8.29,88.19,0.08892938199999999,1991.25,Pisces
677,2.07,2.09653333,29.09082805,33.6,135.68,-162.95,0.13976888866666667,1991.25,Andromeda
746,2.28,2.29204036,59.15021814,59.89,523.39,-180.42,0.15280269066666669,1991.25,Cassiopeia
765,3.88,2.35224949,-45.74698836,23.28,122.15,-180.13,0.15681663266666668,1991.25,Phoenix
910,4.89,2.81628415,-15.46732287,52.94,-84.2,-269.31,0.18775227666666666,1991.25,Cetus
1067,2.83,3.30895828,15.18361593,9.79,4.7,-8.24,0.22059721866666668,1991.25,Pegasus
1168,4.79,3.65045047,20.2066972,10.01,90.66,1.88,0.24336336466666667,1991.25,Pegasus
1170,4.44,3.66013628,-18.93268628,6.62,-27.15,-73.78,0.24400908533333335,1991.25,Cetus
1366,4.61,4.27306518,38.68167915,12.88,-50.01,-17.9,0.284871012,1991.25,Andromeda
1473,4.51,4.58210555,36.7853273,23.11,-66.51,-42.48,0.3054737033333333,1991.25,Andromeda
1562,3.56,4.85701265,-8.82382948,11.26,-14.37,-37.84,0.3238008433333333,1991.25,Cetus
1599,4.23,5.00797581,-64.8776232,116.38,1707.56,1165.36,0.333865054,1991.25,Tucana
2021,2.82,6.41334183,-77.25503511,133.78,2220.12,324.37,0.42755612200000004,1991.25,Hydrus
2072,3.93,6.55048418,-43.67990933,42.51,106.14,32.83,0.4366989453333333,1991.25,Phoenix
2081,2.4,6.57028075,-42.30512197,42.14,232.76,-353.64,0.4380187166666667,1991.25,Phoenix
2210,4.86,6.98213606,-33.0070446,5.95,-20.48,-50.39,0.46547573733333336,1991.25,Sculptor
2472,4.76,7.85356695,-48.80356171,18.97,140.74,19.47,0.52357113,1991.25,Phoenix
2484,4.36,7.88566992,-62.95808549,23.35,82.48,-54.37,0.525711328,1991.25,Tucana
2487,4.53,7.88898014,-62.96544985,18.95,87.95,-45.79,0.5259320093333334,1991.25,Tucana
2505,4.74,7.94299136,54.52232473,9.2,40.78,-14.81,0.5295327573333333,1991.25,Cassiopeia
2599,4.17,8.24994391,62.93178781,0.79,3.99,-2.1,0.5499962606666667,1991.25,Cassiopeia
2912,4.34,9.22016239,33.71935227,4.97,15.23,-3.56,0.6146774926666667,1991.25,Andromeda
2920,3.69,9.24277921,53.89693161,5.46,17.77,-9.15,0.6161852806666667,1991.25,Cassiopeia
3031,4.34,9.63958024,29.312369,19.34,-229.41,-254.08,0.6426386826666667,1991.25,Andromeda
3092,3.27,9.83165567,30.86122579,32.19,115.38,-83.05,0.6554437113333333,1991.25,Andromeda
3179,2.24,10.12661349,56.53740928,14.27,50.36,-32.17,0.675107566,1991.25,Cassiopeia
3245,4.59,10.33156671,-46.08500934,13.19,-28.92,1.04,0.688771114,1991.25,Phoenix
3300,4.8,10.51618425,50.51254151,2.94,12.32,-6.48,0.70107895,1991.25,Cassiopeia
3405,4.36,10.83851683,-57.46309763,13.57,-5.16,15.5,0.7225677886666666,1991.25,Phoenix
3414,4.95,10.8670447,47.02463657,18.71,-24.52,-37.16,0.7244696466666666,1991.25,Cassiopeia
3419,2.04,10.89678452,-17.9866841,34.04,232.79,32.71,0.7264523013333334,1991.25,Cetus
3455,4.77,11.04752272,-10.60927365,15.54,-6.96,-113.88,0.7365015146666667,1991.25,Cetus
3504,4.48,11.18125882,48.28438262,3.6,17.79,-7.62,0.7454172546666666,1991.25,Cassiopeia
3693,4.08,11.83495908,24.26737703,17.98,-101.23,-81.89,0.788997272,1991.25,Andromeda
